88  ;EGGR 473                           ;WD*;139.5403822830560 -04.6598570010764;DAZ9                   ;   10.8653
89  ;G 208-42                           ;Er*;080.4403447012691 +09.9500674794591;M4.0Ve                 ;   11.9769
90  ;Wolf 1084                          ;SB*;092.4674116693292 +07.9182265081372;M5Ve                   ;   16.4037
91  ;GAT 1384                           ;PM*;103.6464362295451 +05.0646472408584;M6.0V                  ;   18.6352
92  ;BD+66 34B                          ;PM*;121.0954806857240 +04.4302168640684;M3V                    ;    9.9605
93  ;BD+63 137                          ;PM*;124.6552458469024 +01.1221211653712;K7V                    ;   15.0678
94  ;HD 10436                           ;PM*;128.6550932119606 +01.5336607000813;K5Vbe                  ;   13.5177
95  ;HD 10780                           ;BY*;129.0877471625275 +01.6557972836547;K0V                    ;   10.0411
96  ;G 244-47                           ;PM*;130.5899052080725 +01.9461646813356;M2.5V                  ;   11.897 
97  ;G 244-37                           ;PM*;129.3934160404891 +02.3238093570095;M2.5V                  ;   17.2936
98  ;EGGR 268                           ;WD*;129.3942889007008 +02.3201978898333;DA5.6                  ;   17.3013
99  ;LSR J0419+4233                     ;PM*;158.6564380793039 -05.4068010625928;M8/9V                  ;   10.2618
100 ;Wolf 1069                          ;PM*;093.7415070718881 +11.7034557039399;dM5.0                  ;    9.5747
101 ;LP 106-304                         ;PM*;093.3574731535976 +10.9549826383619;~                      ;   17.8884
102 ;Wolf 1074                          ;PM*;095.0031952349779 +11.1700518935141;M4V                    ;   21.840 
103 ;HD 199305                          ;PM*;098.7124769742004 +11.0910044334626;M1.0V                  ;    7.0395
104 ;G 262-38                           ;PM*;101.9760864450508 +10.2759932417632;M6V                    ;   31.2789
105 ;G 264-12                           ;PM*;106.1464351247901 +10.1627750768480;M4.0V                  ;   15.9863
106 ;G 264-22                           ;PM*;108.0881548284488 +07.9578119041473;M3V                    ;   17.910 
107 ;G 241-45                           ;PM*;113.6771994868983 +07.6846606779695;M3.0V                  ;   15.4022
108 ;MCC 357                            ;PM*;120.8324839726858 +07.3708505916874;M1.0V                  ;   16.162 
109 ;G 244-49                           ;Er*;131.0333547921003 +02.6125349021558;M4.5                   ;   19.133 
110 ;Ross 370B                          ;PM*;141.0814070250669 +00.4935608840694;M2.0V                  ;   13.5912
111 ;* tet Cyg                          ;PM*;082.6677163760845 +13.8469974695387;F3+V                   ;   18.4263
112 ;UCAC3 281-150921                   ;Er*;082.6516196632071 +13.8753903744813;K8V                    ;   18.293 
113 ;G 230-42                           ;PM*;096.9765829419983 +12.7071460478854;M4.0V                  ;   15.9782
114 ;* eta Cep                          ;PM*;097.8683102249 +11.6435318435      ;K0IV                   ;   14.3683
115 ;G 241-44                           ;PM*;114.8333398042087 +10.5201402327722;M2.0V                  ;   18.05  
116 ;Ross 318                           ;Er*;123.8142751324599 +08.8270861074362;M3.0V                  ;    8.2331
117 ;G 242-60                           ;PM*;121.5637713517754 +08.3679369198711;M3.5                   ;   19.3065
118 ;HD 13579                           ;BY*;130.8260466503570 +06.1014025028717;K2                     ;   18.5731
119 ;G 246-33                           ;** ;139.42301244 +03.89944210          ;M4.0V                  ;   10.9   
120 ;Ross 28                            ;** ;150.8262954534428 +01.0153381094130;M4.0V                  ;   13.2263
121 ;Wolf 1108                          ;PM*;085.3944509796003 +15.3662108404612;M2.5V                  ;   15.2104
122 ;G 262-15                           ;PM*;099.9357005840019 +15.0585529433415;M3V                    ;    8.0870
123 ;HD 223778                          ;SB*;119.1895557290186 +13.1033230802300;K3V                    ;   10.8965
124 ;HD 223778B                         ;PM*;119.1890086274416 +13.1033560257892;M2:                    ;   10.8051
125 ;G 245-40                           ;** ;127.9490973035006 +11.3605850022494;M4.5Ve                 ;   11.849 
126 ;Ross 567                           ;PM*;142.2297833390509 +06.7193027189526;M3.0V                  ;   12.315 
127 ;HD 232979                          ;Er*;153.2364502126269 +03.8866134293352;M0.5V                  ;    9.9092
128 ;G 81-34                            ;** ;157.804448209 +02.412435687        ;M4.0V                  ;   13.6   
129 ;LP 157-25                          ;PM*;157.2595420888705 +02.1832860482906;M6.0V                  ;   19.4774
130 ;G 205-47                           ;PM*;076.2864645933749 +18.4643423626980;M4.11                  ;   19.5379
131 ;2MASS J19010601+4718136            ;BD*;077.49003012 +18.04073267          ;T5                     ;   15     
132 ;HD 184467                          ;SB*;090.2567294453551 +18.0112685637105;K2V                    ;   18.0908
133 ;G 260-38                           ;PM*;097.8148020987850 +17.7825911732251;M3.5V                  ;   18.5847
134 ;HD 193664                          ;PM*;100.4612609122709 +16.9144628542416;G3V                    ;   17.4813
135 ;* gam Cep                          ;SB*;118.9922663443380 +15.3154877793981;K1III-IVCN1            ;   13.790 
136 ;G 242-51                           ;PM*;121.3356290331067 +14.4042772857102;M2.5V                  ;   19.1317
137 ;G 242-52                           ;PM*;121.3386166739000 +14.4053940290249;M4.5                   ;   19.1242
138 ;LP 12-440                          ;PM*;121.9508469541104 +13.6244292024036;M7Ve                   ;   19.7979
139 ;HD 7924                            ;*  ;124.7357037888401 +13.9456432207317;K0.5V                  ;   17.003 
140 ;HD 23189                           ;PM*;137.8910265723596 +11.0981229496086;K2V                    ;   17.913 
141 ;G 247-15                           ;Er*;142.3706030606221 +09.7437271697318;M4                     ;   12.0623
142 ;G 175-34                           ;PM*;148.1026149301820 +07.3117207012510;M4.0V                  ;    5.5174
143 ;EGGR 180                           ;WD*;148.1033803419558 +07.3141096056819;DC5                    ;    5.5165
144 ;BD+49 1280                         ;PM*;157.7006891564408 +04.4623494980826;M0.0V                  ;   16.615 
145 ;BD+45 2743                         ;PM*;074.3933987676413 +21.7322314984159;M0.5V                  ;   15.5676
146 ;BD+45 2743B                        ;PM*;074.4194312789831 +21.7126137419268;M2.5V                  ;   15.5739
147 ;G 205-38                           ;Er*;077.5310942757665 +19.9067540138932;M3.5V                  ;   19.644 
148 ;G 261-23                           ;PM*;107.5065261038447 +20.0449712168162;M5.0                   ;   16.9662
149 ;G 242-2                            ;PM*;115.4903499385593 +17.1330513059226;M5.2                   ;   16.5388
150 ;HD 220140B                         ;PM*;118.4610731526310 +16.9365960717576;M3.5V                  ;   18.925 
151 ;HD 220140                          ;RS*;118.4636871873720 +16.9382605468620;G9V                    ;   18.945 
152 ;G 242-48                           ;Er*;121.3285168226769 +17.9119131075056;M1.5V                  ;   19.239 
153 ;LP 12-304                          ;PM*;121.3311436051712 +17.9093651745241;M5                     ;   19.2372
154 ;G 245-61                           ;PM*;130.1680887938478 +15.4832778358217;~                      ;   18.2137
155 ;G 221-5                            ;PM*;132.3931496561689 +13.5204144525220;M6                     ;   12.0977
156 ;G 221-22                           ;PM*;134.7453029468946 +14.8836258003879;M1V                    ;   15.9569
157 ;G 221-27                           ;PM*;137.3104445969978 +14.0669378886857;M4                     ;   18.3263
158 ;LP 31-302                          ;** ;137.310421031 +14.065362389        ;M5e                    ;   17.5   
159 ;HD 25665                           ;PM*;138.7718288353870 +13.0231300475701;K2.5V                  ;   18.7772
160 ;G 247-39                           ;PM*;147.3229187397530 +11.5694966245525;M3.5V                  ;   18.422 
161 ;BD+52 911                          ;PM*;155.5215286505507 +07.0225660840000;M0.5V                  ;   13.8555
162 ;G 96-29                            ;PM*;162.7894619725927 +04.5762167616572;M2.5V                  ;   13.3419
163 ;G 96-29B                           ;PM*;162.7904401310975 +04.5758521884130;M4:                    ;   13.3007
164 ;* alf Aur                          ;SB*;162.58847600 +04.56643053          ;G3III:                 ;   13.0   
165 ;NAME BY Dra C                      ;PM*;080.5610854323217 +23.5769939271935;~                      ;   16.5045
166 ;V* BY Dra                          ;BY*;080.5566857824348 +23.5794242396869;K4Ve+K7.5Ve            ;   16.5614
167 ;2MASSI J1847034+552243             ;SB*;084.9463514773394 +22.6378572507676;M6+M7                  ;   35.400 
168 ;HD 173740                          ;PM*;089.2846838768658 +24.2295380594028;M3.5V                  ;    3.5231
169 ;HD 173739                          ;PM*;089.2883561508051 +24.2307079948644;M3V                    ;    3.5231
170 ;* sig Dra                          ;PM*;101.3033259307169 +21.8769554079307;K0V                    ;    5.7638
171 ;HD 193202                          ;PM*;109.9647561849911 +22.2061331679242;K7V                    ;   16.8298
172 ;HD 216520                          ;PM*;119.4457454368145 +21.6819984932555;K0V                    ;   19.548 
173 ;BD+82 733                          ;V* ;120.6366956904084 +20.3164378783277;K2                     ;   19.797 
174 ;G 245-71                           ;PM*;129.3701833577472 +19.0246159087862;M2.0V                  ;   13.9551
175 ;HD 24451                           ;PM*;133.5776757749862 +17.3874657083976;K4                     ;   16.2199
176 ;G 221-28                           ;PM*;135.1946730851124 +16.4133370456157;M3.5V                  ;   15.9175
177 ;G 248-19                           ;PM*;135.2769611091155 +17.5905903176042;M3.0V                  ;   19.4499
178 ;G 247-22                           ;PM*;140.8289229750932 +14.0316610494380;M5.0                   ;   19.3291
179 ;G 247-23                           ;PM*;140.8292314159137 +14.0333108055022;M5.5                   ;   19.3209
180 ;LSR J0515+5911                     ;PM*;151.5063969179217 +11.9083193882939;M7.0V                  ;   15.783 
181 ;G 96-45                            ;** ;165.2050846213421 +06.3351333963656;M3V                    ;   15.2818
182 ;BD+45 2688                         ;PM*;073.2334372941074 +24.8431012862624;M0V                    ;   17.4394
183 ;V* V401 Dra                        ;BY*;076.2883464767799 +25.3568440286423;dM2.0                  ;   19.840 
184 ;EGGR 374                           ;WD*;083.6942668463469 +24.8180907023585;DQ7P                   ;   17.0354
185 ;G 227-28                           ;WD*;090.2799419699645 +27.0887770140007;DA10                   ;   13.7077
186 ;G 227-29                           ;PM*;091.4485224541856 +27.0916501863078;M4.0V                  ;    8.3506
187 ;LAWD 73                            ;WD*;101.5613614507378 +24.7738682477566;DAP4.5                 ;   12.8751
188 ;LP 44-334                          ;** ;103.50287092 +26.64637829          ;M7.0V                  ;   16.9   
189 ;G 261-6                            ;PM*;107.2256383733537 +24.1963385053741;M6V                    ;   10.6307
190 ;G 265-8                            ;PM*;123.7064975092783 +21.3301698175278;M5                     ;   14.4483
191 ;G 222-2                            ;PM*;129.3844515902976 +22.0755916800862;M5V                    ;   16.3125
192 ;G 248-12                           ;PM*;131.4964374075538 +19.8052262756911;M4.5                   ;   13.5153
193 ;HD 233153                          ;PM*;158.3898362164400 +11.9719977565902;M1.0V                  ;   12.2753
194 ;HD 37394                           ;BY*;158.3844924698174 +11.9452892157090;K1                     ;   12.2701
195 ;2MASS J18071593+5015316            ;BD*;077.9786618451910 +27.3620760585431;L1                     ;   14.606 
196 ;G 227-22                           ;PM*;093.7431338791498 +29.5388855451247;M5.0V                  ;    7.7938
197 ;G 258-33                           ;Er*;096.0486258546403 +27.9002057952556;M4.5Ve                 ;    7.6421
198 ;G 260-1                            ;PM*;098.7086841160650 +28.2145521922731;M5.0V                  ;   18.89  
199 ;* chi Dra                          ;SB*;103.45634735 +28.05705682          ;F7V                    ;    8.3   
200 ;LP 24-256                          ;PM*;108.8740154558661 +27.4873320663759;M5V                    ;   23.732 
201 ;LP 25-2                            ;Er*;111.7895818348588 +27.3601605348249;M4.0Ve                 ;   16.394 
202 ;BD+62 780                          ;PM*;150.7315933976533 +16.6414767012775;K7V                    ;   13.4919
203 ;G 192-12                           ;Er*;154.9664636142101 +16.5981276527190;M4.2V                  ;   13.476 
204 ;G 192-11                           ;PM*;154.9282952585514 +16.5722778651755;M0.0V                  ;   13.488 
205 ;G 204-39                           ;PM*;073.5771142635391 +28.2264623732534;M2.5V                  ;   13.987 
206 ;SDSS J175805.46+463311.9           ;BD*;073.54586345 +28.17900411          ;T7                     ;   13.9   
207 ;LP 102-241                         ;** ;089.230603581 +31.327838531        ;M4.5                   ;   19.3   
208 ;BD+68 946                          ;PM*;098.6023284326657 +31.9640817566486;M3.0V                  ;    4.5498
209 ;HD 160964                          ;PM*;102.7290900055439 +31.5063220993489;K4V                    ;   19.050 
210 ;EGGR 372                           ;WD*;101.4317294846528 +30.6861798834480;DQ9P                   ;    6.2113
211 ;LP 44-162                          ;LM*;101.1645548991656 +29.9505690345782;M7.5V                  ;   19.1384
212 ;G 259-17                           ;PM*;106.9562528322423 +30.4644166325563;M4.5V                  ;   15.5609
213 ;EGGR 199                           ;WD*;114.9757720619694 +28.8220860772935;DA6.8                  ;   16.3465
214 ;G 259-15                           ;PM*;114.3814369350985 +29.5785096256243;M4                     ;   12.8642
215 ;G 222-11                           ;PM*;131.5389732531316 +25.4586235655007;M2.5V                  ;    9.4616
216 ;HD 46588                           ;PM*;134.5961593906302 +26.4094834048379;F7V                    ;   18.2023
217 ;G 249-27                           ;PM*;145.7539632460457 +20.5209129266402;M4                     ;   19.845 
218 ;G 249-28                           ;PM*;145.7409876619300 +20.5306829744143;M3.5V                  ;   19.8382
219 ;G 249-32                           ;PM*;147.5923895126078 +19.9917099640187;M4.5V                  ;   18.9079
220 ;G 192-13                           ;PM*;154.0642597389661 +17.1760828451807;M4.0V                  ;    7.7338
221 ;G 249-36                           ;PM*;153.1172553130571 +18.1630634693146;M4.5V                  ;   16.2797
222 ;G 192-22                           ;PM*;162.3671467753688 +15.5464069433897;M3.5V                  ;   14.7927
223 ;G 192-15                           ;PM*;163.2344199660248 +13.1213501100309;M5.0V                  ;    9.5275
224 ;HD 160520                          ;PM*;083.7126376989116 +32.4293267788352;K0                     ;  156.123 
